lesson_unit_id,lesson_title,lesson_order,lesson_number,locale,duplicate_rank,duplicate_reason
FCN-LSN-0090,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),90,1,en,2,duplicate_en_lesson_page
FCN-LSN-0091,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,91,2,en,2,duplicate_en_lesson_page
FCN-LSN-0092,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,92,2,en,3,duplicate_en_lesson_page
FCN-LSN-0093,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),93,3,en,2,duplicate_en_lesson_page
FCN-LSN-0094,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),94,4,en,2,duplicate_en_lesson_page
FCN-LSN-0095,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),95,5,en,2,duplicate_en_lesson_page
FCN-LSN-0096,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),96,5,en,3,duplicate_en_lesson_page
FCN-LSN-0098,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),98,6,en,2,duplicate_en_lesson_page
FCN-LSN-0099,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),99,7,en,2,duplicate_en_lesson_page
FCN-LSN-0100,Tlamachtiliztli 8 Noyōllo (Possessive markers),100,8,en,2,duplicate_en_lesson_page
