lesson_unit_id,lesson_title,lesson_url,proficiency_band,lesson_order
FCN-LSN-0001,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,https://tlahtolli.coerll.utexas.edu/,B1,1
FCN-LSN-0002,Nāhuatlahtolli – A Beginner to Advanced Level Nahuatl Online Course,https://tlahtolli.coerll.utexas.edu/#content,B1,2
FCN-LSN-0003,Nāhuatlahtolli – Un curso de nahuatl en línea de nivel básico a avanzado,https://tlahtolli.coerll.utexas.edu/es/inicio/,A1,3
FCN-LSN-0004,Language,https://tlahtolli.coerll.utexas.edu/the-language/,A1,4
FCN-LSN-0005,Funding,https://tlahtolli.coerll.utexas.edu/grant/,A1,5
FCN-LSN-0006,Team,https://tlahtolli.coerll.utexas.edu/the-team/,A1,6
FCN-LSN-0007,Resources,https://tlahtolli.coerll.utexas.edu/resources/,A1,7
FCN-LSN-0008,Units,https://tlahtolli.coerll.utexas.edu/units/,A1,8
FCN-LSN-0009,Introduction,https://tlahtolli.coerll.utexas.edu/introduction/,A1,9
FCN-LSN-0010,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-ce-lesson-1-piltlahcuiloltzitzin-the-alphabet/,A1,10
FCN-LSN-0011,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-2-lesson-2-nicpiya-tlahtlaniliztli-i-have-a-question/,A1,11
FCN-LSN-0012,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-3-lesson-3-na-niehua-tecomate-chicontepec-i-am-from-tecomate-chicontepec/,A1,12
FCN-LSN-0013,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-4-lesson-4-ixnezcayotl-huan-tlapohualiztli-colors-and-numbers/,A2,13
FCN-LSN-0014,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-5-lesson-5-cehcen-inintequiuh-the-professions/,A2,14
FCN-LSN-0015,Contact,https://tlahtolli.coerll.utexas.edu/contact/,A1,15
FCN-LSN-0016,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-6-lesson-6-tlachihualiztli-verbs/,B1,16
FCN-LSN-0017,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-7-lesson-7-queniuhqui-moxeloa-tonatiuh-how-to-break-up-the-day/,B1,17
FCN-LSN-0018,Tlamachtiliztli 8 Noyōllo (Possessive markers),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-8-lesson-8-noyollo-possessive-markers/,B1,18
FCN-LSN-0019,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-9-lesson-9-teixmatcacuahuitl-the-family/,B1,19
FCN-LSN-0020,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-10-lesson-10-notlachiyaliz-my-appearance/,B1,20
FCN-LSN-0021,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-11-lesson-11-quemman-motlahpaloa-huan-monahuatihtehua-when-you-greet-and-say-farewell/,A1,21
FCN-LSN-0022,Tlamachtiliztli 12 Tlachīhualiztli tlen panoz (Future tense and indefinite verbs),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-12-lesson-12-tlachihualiztli-achiyoc-future-tense-and-indefinite-verbs/,A1,22
FCN-LSN-0023,Tlamachtiliztli 13 Tlachīhualiztli tlen quimānēxtia ācquiya quīchihua cē tlamantli (Verbs with specific object),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-13-lesson-13-tlachihualiztli-achiyoc-verbs-with-specific-object/,A1,23
FCN-LSN-0024,Tlamachtiliztli 14 Tlachīhualiztli tlen panoc Part 1 (Past Tense Verbs Part 1),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-14-lesson-14-tlachihualiztli-achiyoc-past-tense-verbs/,A2,24
FCN-LSN-0025,"Tlamachtiliztli 15 Tlachīhualiztli tlen panoc, Part 2 (Past Tense Verbs Part 2)",https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-15-lesson-15-tlachihualiztli-tlen-panoc-part-2-past-tense-verbs-part-2/,A2,25
FCN-LSN-0026,Tlamachtiliztli 16 Tlachīhualiztli tlen panoc. Part 3 (Past Tense Verbs Part 3),https://tlahtolli.coerll.utexas.edu/tlamachtiliztli-16-lesson-16-tlachihualiztli-tlen-panoc-part-3-past-tense-verts-part-3/,B1,26
