pedagogical_unit_id,unit_code,lesson_number,english_lesson_unit_id,spanish_lesson_unit_id,english_lesson_title,spanish_lesson_title,target_band,domain_label,theme_en,communicative_goal,grammar_focus,lexical_focus,output_task,english_vocab_count,english_dialogue_count,english_construction_count,bilingual_vocab_count,bilingual_dialogue_count,bilingual_construction_count,b2_bridge_priority_rank,notes
FCN-PED-0001,FCN-U01,1,FCN-LSN-0010,FCN-LSN-0051,Tlamachtiliztli 1 Piltlahcuiloltzitzin (The Alphabet),Tlamachtiliztli 1 Piltlahcuiloltzitzin (El alfabeto).,A1,orthography,The Alphabet,Recognize and pronounce the core alphabet and basic sound patterns.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Alphabet.,Complete a short guided dialogue and mini self-introduction on The Alphabet.,17,0,5,40,0,5,,
FCN-PED-0002,FCN-U02,2,FCN-LSN-0011,FCN-LSN-0052,Tlamachtiliztli 2 Tlahtlaniliztli (Questions).,Tlamachtiliztli 2 Tlahtlaniliztli (Preguntas),A1,interaction,Questions,Ask and answer simple information questions in everyday exchanges.,Interrogative patterns and short-answer structures.,Core vocabulary and reusable expressions for Questions.,Complete a short guided dialogue and mini self-introduction on Questions.,8,2,2,17,5,2,,
FCN-PED-0003,FCN-U03,3,FCN-LSN-0012,FCN-LSN-0053,Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (What is your name?),Tlamachtiliztli 3 ¿Quēniuhqui motōcah? (¿Cómo te llamas?),A1,identity,What is your name?,Introduce yourself and ask another person’s name.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for What is your name?.,Complete a short guided dialogue and mini self-introduction on What is your name?.,53,8,32,109,17,32,,
FCN-PED-0004,FCN-U04,4,FCN-LSN-0013,FCN-LSN-0054,Tlamachtiliztli 4 Īxnēzcayotl huan tlapōhualiztli (Colors and Numbers),Tlamachtiliztli 4 Īxnēzcayōtl huan tlapōhualiztli (Los colores y los números),A2,description,Colors and Numbers,Describe objects with colors and count basic quantities.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for Colors and Numbers.,Produce a short descriptive or transactional exchange built around Colors and Numbers.,50,2,28,99,3,28,,
FCN-PED-0005,FCN-U05,5,FCN-LSN-0014,FCN-LSN-0055,Tlamachtiliztli 5 Cehcen inintequiuh (The Professions),Tlamachtiliztli 5 Cehcen inin tequiuh (Las profesiones),A2,work,The Professions,State and ask about occupations and basic social roles.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Professions.,Produce a short descriptive or transactional exchange built around The Professions.,36,8,21,71,17,21,,
FCN-PED-0006,FCN-U06,6,FCN-LSN-0016,FCN-LSN-0057,Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Intransitive Verbs),Tlamachtiliztli 6 Tlachīhualiztli tlen ax quimānēxtia cē tlamantli (Los verbos intransitivos),B1,grammar,Intransitive Verbs,Practice the lesson’s core construction set through controlled production tasks for Intransitive Verbs.,Intransitive verb morphology and person marking.,Core vocabulary and reusable expressions for Intransitive Verbs.,Hold a longer guided conversation or narration using the constructions from Intransitive Verbs.,24,0,8,51,0,8,5,
FCN-PED-0007,FCN-U07,7,FCN-LSN-0017,FCN-LSN-0058,Tlamachtiliztli 7 Quēn moxēloa tōnatiuh (How to divide up the day),Tlamachtiliztli 7 Quēn moxeloa tōnatiuh (Cómo se divide el día),B1,time,How to divide up the day,Build usable speech routines around How to divide up the day.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for How to divide up the day.,Hold a longer guided conversation or narration using the constructions from How to divide up the day.,58,0,24,117,0,24,3,
FCN-PED-0008,FCN-U08,8,FCN-LSN-0018,FCN-LSN-0059,Tlamachtiliztli 8 Noyōllo (Possessive markers),Tlamachtiliztli 8 Noyōllo (Marcadores posesivos),B1,possession,Possessive markers,Build usable speech routines around Possessive markers.,Possessive markers and possessed noun phrases.,Core vocabulary and reusable expressions for Possessive markers.,Hold a longer guided conversation or narration using the constructions from Possessive markers.,38,0,21,79,1,21,4,
FCN-PED-0009,FCN-U09,9,FCN-LSN-0019,FCN-LSN-0060,Tlamachtiliztli 9 Tēiīxmatcacuahuitl (The Family),Tlamachtiliztli 9 Tēīxmatcacuahuitl (La familia),B1,family,The Family,Describe family members and basic kin relationships.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for The Family.,Hold a longer guided conversation or narration using the constructions from The Family.,41,0,27,79,0,27,2,
FCN-PED-0010,FCN-U10,10,FCN-LSN-0020,FCN-LSN-0061,Tlamachtiliztli 10 Notlachiyaliz (My Appearance),Tlamachtiliztli 10 Notlachiyaliz (Mi apariencia),B1,description,My Appearance,Describe physical appearance using simple adjectives and nouns.,Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for My Appearance.,Hold a longer guided conversation or narration using the constructions from My Appearance.,38,4,28,74,9,28,1,
FCN-PED-0011,FCN-U11,11,FCN-LSN-0021,FCN-LSN-0062,Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (When you greet and say farewell),Tlamachtiliztli 11 Quēmman motlahpaloa huan monāhuatihtēhua (Cuando se saluda y se despide),A1,social,When you greet and say farewell,"Manage greetings, farewells, and short social openings.",Core lesson constructions and reusable sentence patterns.,Core vocabulary and reusable expressions for When you greet and say farewell.,Complete a short guided dialogue and mini self-introduction on When you greet and say farewell.,43,19,20,89,31,20,,
