example_id,example_ehn,example_msn,translation_en,example_type,evidence_status,beginner_flag,source_entry_ids_json,notes
FCN-EX-P7-0001,axtle,axtle,"no, negative response",attested_phrase,attested_lexical_item,safe,"[""kw::axtle::1""]",
FCN-EX-P7-0002,axtlen,axtlen,"think nothing of it, you're welcome, don't mention it",attested_phrase,attested_lexical_item,safe,"[""kw::axtlen::1""]",
FCN-EX-P7-0003,quena,kena,"yes, positive response",attested_phrase,attested_lexical_item,safe,"[""kw::quena::1""]",
FCN-EX-P7-0004,pialli,pialli,hello (greeting),attested_phrase,attested_lexical_item,safe,"[""kw::pialli::1""]",
FCN-EX-P7-0005,tonalti,tonalti,good morning (greeting),attested_phrase,attested_lexical_item,safe,"[""kw::tonalti::1""]",
FCN-EX-P7-0006,quehatza tiitztoc,kehatsa tiitstok,how are you?,attested_phrase,attested_lexical_item,safe,"[""kw::quehatza-tiitztoc::1""]",
FCN-EX-P7-0007,quehatza tiya,kehatsa tiya,how's it going?,attested_phrase,attested_lexical_item,safe,"[""kw::quehatza-tiya::1""]",
FCN-EX-P7-0008,tiotlaquilti,tiotlakilti,good afternoon (greeting),attested_phrase,attested_lexical_item,safe,"[""kw::tiotlaquilti::1""]",
FCN-EX-P7-0009,tlapoyahualti,tlapoyawalti,good night (greeting),attested_phrase,attested_lexical_item,safe,"[""kw::tlapoyahualti::1""]",
FCN-EX-P7-0010,tlazcamati,tlaskamati,thanks,attested_phrase,attested_lexical_item,safe,"[""kw::tlazcamati::1""]",
FCN-EX-P7-0011,ax tleno,ax tleno,you're welcome,attested_phrase,attested_lexical_item,safe,"[""kw::ax-tleno::1""]",
FCN-EX-P7-0012,cualtitoc,kualtitok,"fine, ok",attested_phrase,attested_lexical_item,safe,"[""kw::cualtitoc::1""]",
FCN-EX-P7-0013,pampa,pampa,because,attested_token,attested_lexical_item,safe,"[""kw::pampa::1""]",
FCN-EX-P7-0014,achtohui,achtowi,before,attested_token,attested_lexical_item,safe,"[""kw::achtohui::2""]",
FCN-EX-P7-0015,ahqueya,ahkeya,who?,attested_token,attested_lexical_item,safe,"[""kw::ahqueya::1""]",
FCN-EX-P7-0016,ama,ama,now,attested_token,attested_lexical_item,safe,"[""kw::ama::1""]",
